Dim0,Dim1,Dim2,Dim3,Dim4,Time,PosVal1,PosVal2,NegVal1,NegVal2,NegVal3,NegVal4
Group1,Reg A,Reg2 A,Class1,SubClass1,2014,17873721.3,18313299.3,37527269.2,4515485.28,1957798.11,0
Group1,Reg B,Reg2 B,Class1,SubClass2,2014,503663.172,503663.172,0,0,0,202628.569
Group1,Reg B,Reg2 B,Class1,SubClass2,2015,598998.889,666454.618,209140.705,83937.6874,0,122014.094
Group1,Reg B,Reg2 B,Class1,SubClass2,2016,203306.405,1821009.8,18938.8021,56816.403,0,36131.007
Group1,Reg B,Reg2 C,Class1,SubClass2,2014,22265066.6,22787050.4,15637852.6,3003.11537,0,1082746.32
Group1,Reg B,Reg2 C,Class1,SubClass2,2015,11363858,21268650.2,1634082.16,1046351.16,0,7198349.45
Group1,Reg B,Reg2 J,Class1,SubClass1,2014,5408752.05,5583421.9,2488759.75,11992.9687,0,65597.6772
Group1,Reg B,Reg2 J,Class1,SubClass1,2015,3734729.68,4686833.27,1521782.76,132346.386,597.47,96486.91
Group1,Reg B,Reg2 J,Class1,SubClass1,2016,115259.721,506368.316,8657.45971,25972.3791,155.5,28924.5697
Group1,Reg B,Reg2 J,Class2,SubClass1,2014,147215.167,147215.167,396612.703,0,0,0
Group1,Reg B,Reg2 J,Class2,SubClass1,2015,49544.375,49544.375,0,0,0,0
Group1,Reg C,Reg2 D,Class1,SubClass2,2014,1369980.69,1369980.69,0,0,0,47723.4557
Group1,Reg C,Reg2 D,Class1,SubClass2,2015,448010.517,903487.875,0,0,0,168286.089
Group1,Reg C,Reg2 K,Class1,SubClass1,2015,4200154.97,5315941.47,705134.572,274234.56,0,2164718.26
Group1,Reg C,Reg2 K,Class1,SubClass1,2016,88661.7075,714509.055,8178.52771,24535.5806,0,8178.52771
Group1,Reg C,Reg2 L,Class1,SubClass1,2014,4560565.36,4752090.15,2533296.53,2199.05087,0,945248.576
Group1,Reg C,Reg2 L,Class1,SubClass1,2015,1692116.53,3530840.32,602570.142,1910614.69,0,1918.1561
Group1,Reg C,Reg2 L,Class1,SubClass1,2016,730.169489,5884.30706,94.8927487,284.678551,0,94.8927487
Group1,Reg D,Reg2 E,Class1,SubClass2,2014,7285906.85,7285906.85,5961851.12,2715305.9,0,935183.53
Group1,Reg D,Reg2 E,Class1,SubClass2,2015,1702646.17,2140898.27,704719.382,150796.851,0,430558.728
Group1,Reg D,Reg2 E,Class1,SubClass2,2016,28975.3456,233507.197,2644.87673,7934.61593,0,2644.87673
Group1,Reg D,Reg2 F,Class1,SubClass1,2014,25818896.9,25818896.9,26080568.9,0,0,0
Group1,Reg D,Reg2 F,Class1,SubClass1,2015,22813570.4,22813570.4,17940915.8,0,0,0
Group1,Reg D,Reg2 F,Class1,SubClass2,2014,12762763.5,12798989.7,11849967.7,175715.017,0,492894.46
Group1,Reg D,Reg2 F,Class1,SubClass2,2015,11808963,12002686.9,2959084.63,3710766.23,0,1608024.01
Group1,Reg D,Reg2 F,Class1,SubClass2,2016,264248,6478368,6424.76,19274.27,0,6424.76
Group1,Reg D,Reg2 G,Class1,SubClass1,2014,687565.07,687565.07,0,0,0,0
Group1,Reg D,Reg2 G,Class1,SubClass2,2014,1226882.03,1226882.03,0,0,0,754835.929
Group1,Reg D,Reg2 G,Class1,SubClass2,2015,1181212.18,1181212.18,0,0,0,302453.845
Group1,Reg D,Reg2 G,Class1,SubClass2,2016,107031.39,126450,0,0,0,637.92
Group1,Reg E,Reg2 H,Class1,SubClass2,2014,12185642.9,12189917.3,5140500.7,825882.288,0,1144079.91
Group1,Reg E,Reg2 H,Class1,SubClass2,2015,16049550.3,18536319,9999314.33,3863471.23,0,2283144
Group1,Reg E,Reg2 H,Class1,SubClass2,2016,67573.1909,2028550,0,0,0,45375.4609
Group1,Reg E,Reg2 I,Class1,SubClass2,2014,14428448.9,14428448.9,22804229.3,67806.1873,0,21245330.7
Group1,Reg E,Reg2 I,Class1,SubClass2,2015,30483642.5,38037162.7,4022869.8,12270733.1,0,5103401.24
Group1,Reg F,Reg2 N,Class1,SubClass2,2014,105507799,105507799,73524291.6,1982129.64,0,840315.396
Group1,Reg F,Reg2 N,Class1,SubClass2,2015,74356304.1,93987766.4,37637730.3,13960132.8,0,10553757.5
Group1,Reg F,Reg2 N,Class1,SubClass2,2016,1203048.24,16505547.3,158538.641,475615.919,0,158538.641
Group1,Reg F,Reg2 O,Class1,SubClass1,2014,5206902.92,5255256.92,1060571.12,120685.325,0,79032.6287
Group1,Reg F,Reg2 O,Class1,SubClass1,2015,2771110.64,3789329.93,52300.7249,156902.215,0,2057103.33
Group1,Reg F,Reg2 O,Class1,SubClass2,2014,846911.03,846911.03,661254.519,308.597561,0,3936.61924
Group1,Reg F,Reg2 O,Class1,SubClass2,2015,12150.1355,18275.4065,0,0,0,166124.37
Group1,Reg F,Reg2 P,Class1,SubClass1,2014,52397802,52397802,49795174.9,29895.0422,0,0
Group1,Reg F,Reg2 P,Class1,SubClass1,2015,18750717,19844998.6,4820737.34,14175848.6,0,4725282.88
Group1,Reg F,Reg2 P,Class1,SubClass2,2014,1676013.21,1676202.87,1756566.67,153878.66,0,5494.1366
Group1,Reg F,Reg2 P,Class1,SubClass2,2015,1293069.22,1345015.86,223195.47,669586.411,0,248162.922
Group1,Reg G,Reg2 G,Class1,SubClass1,2014,142247.377,142247.377,0,0,0,0
Group2,Reg D,Reg2 G,Class1,SubClass1,2014,687107,687107,0,0,0,0
Group2,Reg D,Reg2 G,Class1,SubClass1,2015,686000,686000,0,0,0,0
Group2,Reg E,Reg2 I,Class1,SubClass1,2014,1926315.39,1926315.39,873777.69,0,0,0
Group2,Reg E,Reg2 I,Class1,SubClass1,2015,1743115.33,1743115.33,0,0,0,0
Group2,Reg E,Reg2 I,Class1,SubClass2,2015,3600549.03,3600549.03,0,0,0,0
